Question,Option A,Option B,Option C,Option D,Correct Answer
"What was the original name of the search engine ""Google""?",Netscape Navigator,BackRub,SearchPro,CatMassage,BackRub
What is the world's most expensive spice by weight?,Cardamom,Cinnamon,Vanilla,Saffron,Saffron
Where did the pineapple plant originate?,Hawaii,Asia,Europe,South America,South America
What is the name of the very first video uploaded to YouTube?,tribute,Me at the zoo,carrie rides a truck,Her new puppy from great grandpa vern.,Me at the zoo
What character was once considered to be the 27th letter of the alphabet?,Ampersand,Pilcrow,Interrobang,Tilde,Ampersand
"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",Standing on his head,Jumping over an office chair,Jumping backwards over a desk,Typing on a keyboard during a handstand,Jumping over an office chair
Which of these American singers and songwriters won a Nobel Prize in Literature?,Bob Dylan,Johnny Cash,Alice Cooper,Buddy Holly,Bob Dylan
When was Hubba Bubba first introduced?,1979,1972,1980,1984,1979
Which of the following correctly describes Japanese word order?,Verb Subject Object,Subject Verb Object,Subject Object Verb,Verb Object Subject,Subject Object Verb
What is the highest number of Michelin stars a restaurant can receive?,Four,Three,Six,Five,Three
Apple co-founder Steve Jobs died from complications of which form of cancer?,Bone,Liver,Stomach,Pancreatic,Pancreatic
What direction does the Statue of Liberty face?,Northwest,Southeast,Northeast,Southwest,Southeast
Which mountain has the highest peak in South America?,"Ojos del Salado, Argentina/Chile border","Huascarán, Peru","Monte Pissis, Argentina","Aconcagua, Argentina","Aconcagua, Argentina"
"Who is the founder of ""The Lego Group""?",Ole Kirk Christiansen,Kirstine Christiansen, Jens Niels Christiansen, Gerhardt Kirk Christiansen,Ole Kirk Christiansen
Which of the following is NOT one of Aesop's fables?,The Fox and the Hound,The Tortoise and the Hare,The Fox and the Grapes,The Frog and the Ox,The Fox and the Hound
"According to the BBPA, what is the most common pub name in the UK?",King's Head,White Hart,Royal Oak,Red Lion,Red Lion
